Province;District;Commune;Village;ភេទ បង្ហាញលើUSerFroms;;គំរូID
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិអូរធំ;ប្រុស;ស្រី;P000
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិភ្នំ;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិបន្ទាយនាង;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិគោកព្នៅ;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិត្រាង;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិពង្រ;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិគោកទន្លាប់;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិត្របែក;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិឃីឡិក;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិសំរោងពេន;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិដងរុនលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិដងរុនកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិអូរស្ងួត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិព្រៃចង្ហាលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិព្រៃចង្ហាកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិអូរអណ្ដូងលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិអូរអណ្ដូងកណ្ដាល;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិអូរអណ្ដូងកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបន្ទាយនាង;ភូមិគោកក្ដួច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិខ្ទុម្ពរាយលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិខ្ទុម្ពរាយកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិអន្លង់ថ្ងាន់កើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិអន្លង់ថ្ងាន់លិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិបង់បត់លិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិបង់បត់កើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិបត់ត្រង់;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិបត់ត្រង់ធំលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិបត់ត្រង់ធំកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិបត់ត្រង់តូច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំបត់ត្រង់;ភូមិព្រែកជីក;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិប្រឡាយចារ៍;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិរង្វានលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិរង្វានកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិចំណោមលិច;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិចំណោមកើត;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិរោងគោដើម;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិរោងគោកណ្ដាល;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិរោងគោចុង;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិពាមរោងគោ;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិតាសល់;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិជួរខ្ចាស់;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិបឹងត្រស់;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិដងត្រាង;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិស្រែព្រៃ;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិបុស្បទន្លាប់;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិតាប៊ុន;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិគោកពន្លៃ;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំចំណោម;ភូមិសាយសាម៉ន;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំគោកបល្ល័ង្គ;ភូមិគោកបល្ល័ង្ក;;;
ខេត្តបន្ទាយមានជ័យ;ស្រុកមង្គលបូរី;ឃុំគោកបល្ល័ង្គ;ភូមិតាអន;;;
